" "," ","Total DEYE","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
" EXT-DERRICK, ROTARY DRILL, AND SERVICE UNIT OPERATORS, AND ROUSTABOUTS, OIL, GAS, AND MINING", ,55713,1412,54301,55713,65950.1,6034.77,3674279100
" EXT-EARTH DRILLERS, EXCEPT OIL AND GAS", ,32516,1016,31500,32516,49046.8,4952.77,1594804900
" EXT-EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, AND BLASTERS", ,20559,206,20353,20559,38461.5,4752.00,790729700
" EXT-MINING MACHINE OPERATORS", ,77250,2309,74941,77250,57130.6,3900.89,4413336760
" EXT-MISCELLANEOUS EXTRACTION WORKERS, INCLUDING ROOF BOLTERS AND HELPERS", ,94463,1592,92871,94463,49227.5,2887.40,4650181100
" RPR-FIRST-LINE SUPERVISORS OF MECHANICS, INSTALLERS, AND REPAIRERS", ,326553,5298,321255,326553,52409.2,1359.60,17114383150
" RPR-COMPUTER, AUTOMATED TELLER, AND OFFICE MACHINE REPAIRERS", ,249161,5873,243288,249161,34194.2,1282.49,8519860380
" RPR-RADIO AND TELECOMMUNICATIONS EQUIPMENT INSTALLERS AND REPAIRERS", ,200579,3810,196769,200579,42470.2,1543.57,8518637410
" RPR-AVIONICS TECHNICIANS", ,30054,397,29657,30054,39269.7,3739.14,1180211250
" RPR-ELECTRIC MOTOR, POWER TOOL, AND RELATED REPAIRERS", ,28704,123,28581,28704,39027.9,3674.61,1120257450
" RPR-ELECTRICAL AND ELECTRONICS REPAIRERS, TRANSPORTATION EQUIPMENT, AND INDUSTRIAL AND UTILITY", ,23928,152,23776,23928,44561.7,4169.12,1066273100
" RPR-ELECTRONIC EQUIPMENT INSTALLERS AND REPAIRERS, MOTOR VEHICLES", ,13420,35,13385,13420,44532.7,7625.51,597628300
" RPR-ELECTRONIC HOME ENTERTAINMENT EQUIPMENT INSTALLERS AND REPAIRERS", ,49310,483,48827,49310,32792.7,3975.90,1617010050
" RPR-SECURITY AND FIRE ALARM SYSTEMS INSTALLERS", ,65964,832,65132,65964,38021.2,2454.27,2508029290
" RPR-AIRCRAFT MECHANICS AND SERVICE TECHNICIANS", ,221944,2210,219734,221944,47259.3,1558.26,10488916630
" RPR-AUTOMOTIVE BODY AND RELATED REPAIRERS", ,171625,3222,168403,171625,31754.5,1344.61,5449874260
" RPR-AUTOMOTIVE GLASS INSTALLERS AND REPAIRERS", ,21495,55,21440,21495,26608.1,3295.95,571942140
" RPR-AUTOMOTIVE SERVICE TECHNICIANS AND MECHANICS", ,990024,16247,973777,990024,29366.4,546.31,29073468530
" RPR-BUS AND TRUCK MECHANICS AND DIESEL ENGINE SPECIALISTS", ,367945,5884,362061,367945,37156.1,967.56,13671400250
" RPR-HEAVY VEHICLE AND MOBILE EQUIPMENT SERVICE TECHNICIANS AND MECHANICS", ,243256,5606,237650,243256,43494.3,1502.63,10580254750
" RPR-SMALL ENGINE MECHANICS", ,63264,611,62653,63264,22230.2,1971.67,1406372750
" RPR-MISCELLANEOUS VEHICLE AND MOBILE EQUIPMENT MECHANICS, INSTALLERS, AND REPAIRERS", ,98999,2187,96812,98999,23816.9,1737.73,2357852290
" RPR-CONTROL AND VALVE INSTALLERS AND REPAIRERS", ,24099,226,23873,24099,49057.7,4902.08,1182241720
" RPR-HEATING, AIR CONDITIONING, AND REFRIGERATION MECHANICS AND INSTALLERS", ,432374,8420,423954,432374,36543.0,899.14,15800251850
" RPR-HOME APPLIANCE REPAIRERS", ,45972,325,45647,45972,28299.4,2666.93,1300978000
" RPR-INDUSTRIAL AND REFRACTORY MACHINERY MECHANICS", ,470407,9708,460699,470407,43062.7,948.86,20256995590
" RPR-MAINTENANCE AND REPAIR WORKERS, GENERAL", ,607940,11754,596186,607940,36030.3,731.56,21904282970
" RPR-MAINTENANCE WORKERS, MACHINERY", ,39953,1718,38235,39953,45266.1,3793.95,1808516420
" RPR-MILLWRIGHTS", ,59271,1113,58158,59271,48518.2,3063.23,2875721190
" RPR-ELECTRICAL POWER-LINE INSTALLERS AND REPAIRERS", ,133693,1159,132534,133693,64071.5,2773.99,8565915570
" RPR-TELECOMMUNICATIONS LINE INSTALLERS AND REPAIRERS", ,181065,2457,178608,181065,42699.2,1708.10,7731329920
" RPR-PRECISION INSTRUMENT AND EQUIPMENT REPAIRERS", ,77051,2348,74703,77051,38440.9,2215.25,2961908770
" RPR-COIN, VENDING, AND AMUSEMENT MACHINE SERVICERS AND REPAIRERS", ,41140,1408,39732,41140,23934.4,1880.02,984661270
" RPR-LOCKSMITHS AND SAFE REPAIRERS", ,29794,906,28888,29794,29738.8,3007.68,886038900
" RPR-RIGGERS", ,12913,0,12913,12913,43722.1,5746.01,564583700
" RPR-HELPERS--INSTALLATION, MAINTENANCE, AND REPAIR WORKERS", ,30764,143,30621,30764,17992.8,1806.01,553531130
" RPR-MISCELLANEOUS INSTALLATION, MAINTENANCE, AND REPAIR", ,365755,6993,358762,365755,31198.1,905.21,11410844640
" PRD-FIRST-LINE SUPERVISORS OF PRODUCTION AND OPERATING WORKERS", ,1019233,14906,1004327,1019233,51431.3,810.48,52420441910
" PRD-AIRCRAFT STRUCTURE, SURFACES, RIGGING, AND SYSTEMS ASSEMBLERS", ,8895,0,8895,8895,36480.5,6279.97,324493810
" PRD-ELECTRICAL, ELECTRONICS, AND ELECTROMECHANICAL ASSEMBLERS", ,168348,2553,165795,168348,26666.8,1135.06,4489297620
" PRD-ENGINE AND OTHER MACHINE ASSEMBLERS", ,14956,85,14871,14956,33761.9,4128.41,504943040
" PRD-STRUCTURAL METAL FABRICATORS AND FITTERS", ,36647,826,35821,36647,32864.3,3085.20,1204379400
" PRD-MISCELLANEOUS ASSEMBLERS AND FABRICATORS", ,1338170,23487,1314683,1338170,25544.9,412.32,34183435470
" PRD-BAKERS", ,295402,5674,289728,295402,17604.4,646.18,5200382270
" PRD-BUTCHERS AND OTHER MEAT, POULTRY, AND FISH PROCESSING WORKERS", ,328831,6959,321872,328831,23338.4,758.05,7674394590
" PRD-FOOD AND TOBACCO ROASTING, BAKING, AND DRYING MACHINE OPERATORS AND TENDERS", ,11456,719,10737,11456,25917.9,3694.30,296915710
" PRD-FOOD BATCHMAKERS", ,118230,2549,115681,118230,19183.4,963.51,2268056260
" PRD-FOOD COOKING MACHINE OPERATORS AND TENDERS", ,12376,171,12205,12376,14819.7,2665.95,183408420
" PRD-FOOD PROCESSING WORKERS, ALL OTHER", ,159450,2493,156957,159450,27235.6,1177.63,4342723640
" PRD-COMPUTER CONTROL PROGRAMMERS AND OPERATORS", ,106937,1248,105689,106937,39628.5,1811.67,4237747590
" PRD-EXTRUDING AND DRAWING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,15931,518,15413,15931,31353.9,4063.87,499498300
" PRD-FORGING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,9250,0,9250,9250,35060.6,5166.21,324310700
" PRD-ROLLING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,9732,392,9340,9732,40947.0,6270.04,398495730
" PRD-MACHINE TOOL CUTTING SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,185020,5153,179867,185020,27900.9,1059.34,5162217530
" PRD-MACHINISTS", ,411788,6207,405581,411788,39595.1,941.17,16304797570
" PRD-METAL FURNACE OPERATORS, TENDERS, POURERS, AND CASTERS", ,26612,529,26083,26612,38318.2,3754.73,1019725100
" PRD-MODEL MAKERS, PATTERNMAKERS, AND MOLDING MACHINE SETTERS, METAL AND PLASTIC", ,59372,994,58378,59372,31534.6,2281.62,1872272860
" PRD-TOOL AND DIE MAKERS", ,69630,942,68688,69630,44120.7,2410.02,3072122560
" PRD-WELDING, SOLDERING, AND BRAZING WORKERS", ,763542,15788,747754,763542,34537.0,699.49,26370468980
" PRD-MISCELLANEOUS METAL WORKERS AND PLASTIC WORKERS, INCLUDING MULTIPLE MACHINE TOOL SETTERS", ,520702,10563,510139,520702,30137.3,691.39,15692549480
" PRD-PREPRESS TECHNICIANS AND WORKERS", ,31233,413,30820,31233,25140.6,2422.55,785216520
" PRD-PRINTING PRESS OPERATORS", ,220737,3401,217336,220737,28513.0,1023.45,6293875530
" PRD-PRINT BINDING AND FINISHING WORKERS", ,27834,956,26878,27834,23164.4,2152.03,644758850
" PRD-LAUNDRY AND DRY-CLEANING WORKERS", ,253954,6410,247544,253954,15551.4,654.89,3949342480
" PRD-PRESSERS, TEXTILE, GARMENT, AND RELATED MATERIALS", ,60544,1482,59062,60544,14146.9,1120.60,856509480
" PRD-SEWING MACHINE OPERATORS", ,257507,6285,251222,257507,15843.5,668.97,4079815890
" PRD-SHOE AND LEATHER WORKERS", ,16695,255,16440,16695,15256.0,2868.13,254699600
" PRD-TAILORS, DRESSMAKERS, AND SEWERS", ,97686,2905,94781,97686,15136.1,1465.47,1478585664
" PRD-TEXTILE BLEACHING AND DYEING, AND CUTTING MACHINE SETTERS, OPERATORS, AND TENDERS", ,13813,50,13763,13813,20946.1,3440.17,289328200
" PRD-TEXTILE KNITTING AND WEAVING MACHINE SETTERS, OPERATORS, AND TENDERS", ,10936,181,10755,10936,19473.7,2964.72,212964300
" PRD-TEXTILE WINDING, TWISTING, AND DRAWING OUT MACHINE SETTERS, OPERATORS, AND TENDERS", ,16233,289,15944,16233,19542.9,3043.42,317240400
" PRD-UPHOLSTERERS", ,40803,392,40411,40803,19277.0,1705.30,786559860
" PRD-MISCELLANEOUS TEXTILE, APPAREL, AND FURNISHINGS WORKERS, EXCEPT UPHOLSTERERS", ,23474,576,22898,23474,23874.2,2636.09,560421900
" PRD-CABINETMAKERS AND BENCH CARPENTERS", ,60151,770,59381,60151,21784.4,1495.76,1310352620
" PRD-FURNITURE FINISHERS", ,18330,370,17960,18330,18171.7,2302.32,333087850
" PRD-SAWING MACHINE SETTERS, OPERATORS, AND TENDERS, WOOD", ,44431,933,43498,44431,20248.2,1649.67,899645810
" PRD-WOODWORKING MACHINE SETTERS, OPERATORS, AND TENDERS, EXCEPT SAWING", ,20478,528,19950,20478,19380.3,2308.06,396868990
" PRD-MISCELLANEOUS WOODWORKERS, INCLUDING MODEL MAKERS AND PATTERNMAKERS", ,41244,851,40393,41244,20726.2,1916.24,854832630
" PRD-POWER PLANT OPERATORS, DISTRIBUTORS, AND DISPATCHERS", ,55985,391,55594,55985,78251.6,4572.86,4380917300
" PRD-STATIONARY ENGINEERS AND BOILER OPERATORS", ,114832,1680,113152,114832,51553.3,2622.62,5919967070
" PRD-WATER AND WASTEWATER TREATMENT PLANT AND SYSTEM OPERATORS", ,97266,909,96357,97266,44531.3,2199.12,4331382280
" PRD-MISCELLANEOUS PLANT AND SYSTEM OPERATORS", ,53773,713,53060,53773,56570.7,3568.15,3041974750
" PRD-CHEMICAL PROCESSING MACHINE SETTERS, OPERATORS, AND TENDERS", ,63465,775,62690,63465,44423.5,2761.88,2819337440
" PRD-CRUSHING, GRINDING, POLISHING, MIXING, AND BLENDING WORKERS", ,108679,2725,105954,108679,33804.3,1812.33,3673821550
" PRD-CUTTING WORKERS", ,91999,3569,88430,91999,21464.1,1345.12,1974672920
