" "," ","Total DPHY","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
"PRS-GAMING SERVICES WORKERS", ,128669,7082,121587,128669,28523.9,1594.09,3670142010
"PRS-MOTION PICTURE PROJECTIONISTS", ,4153,17,4136,4153,17389.0,7938.36,72216600
"PRS-USHERS, LOBBY ATTENDANTS, AND TICKET TAKERS", ,77068,4376,72692,77068,6352.7,572.69,489590010
"PRS-MISCELLANEOUS ENTERTAINMENT ATTENDANTS AND RELATED WORKERS", ,336801,9706,327095,336801,9270.1,405.88,3122193600
"PRS-EMBALMERS AND FUNERAL ATTENDANTS", ,22648,1684,20964,22648,18939.8,2314.37,428947710
"PRS-MORTICIANS, UNDERTAKERS, AND FUNERAL DIRECTORS", ,41638,2225,39413,41638,48299.1,4617.73,2011078950
"PRS-BARBERS", ,123019,6475,116544,123019,10629.8,662.86,1307665820
"PRS-HAIRDRESSERS, HAIRSTYLISTS, AND COSMETOLOGISTS", ,1006092,38546,967546,1006092,13368.0,316.21,13449487216
"PRS-MISCELLANEOUS PERSONAL APPEARANCE WORKERS", ,373244,6262,366982,373244,14964.3,598.63,5585348060
"PRS-BAGGAGE PORTERS, BELLHOPS, AND CONCIERGES", ,101167,3380,97787,101167,24875.4,1537.63,2516567600
"PRS-TOUR AND TRAVEL GUIDES", ,84418,2509,81909,84418,12870.6,1156.31,1086512660
"PRS-CHILDCARE WORKERS", ,1873551,75537,1798014,1873551,7865.2,159.80,14735832584
"PRS-PERSONAL CARE AIDES", ,1804043,135901,1668142,1804043,13946.7,253.02,25160373520
"PRS-RECREATION AND FITNESS WORKERS", ,638761,15016,623745,638761,13772.0,423.09,8797032550
"PRS-RESIDENTIAL ADVISORS", ,93049,2610,90439,93049,12872.3,879.59,1197755980
"PRS-PERSONAL CARE AND SERVICE WORKERS, ALL OTHER", ,202073,7922,194151,202073,13360.1,650.78,2699712740
"SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS", ,3555499,118529,3436970,3555499,38509.7,411.43,136921319270
"SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS", ,1377281,41742,1335539,1377281,68334.5,1110.70,94115874470
"SAL-CASHIERS", ,4895133,181587,4713546,4895133,10095.1,121.42,49417020506
"SAL-COUNTER AND RENTAL CLERKS", ,124195,5367,118828,124195,20067.3,1309.10,2492256060
"SAL-PARTS SALESPERSONS", ,142937,4571,138366,142937,29667.8,1690.91,4240629890
"SAL-RETAIL SALESPERSONS", ,4703732,152884,4550848,4703732,20557.6,234.26,96697306066
"SAL-ADVERTISING SALES AGENTS", ,196544,5989,190555,196544,57533.1,2451.23,11307783860
"SAL-INSURANCE SALES AGENTS", ,649820,18977,630843,649820,50462.1,1372.41,32791309600
"SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES AGENTS", ,281203,5633,275570,281203,111362.2,4296.74,31315391010
"SAL-TRAVEL AGENTS", ,93261,2558,90703,93261,26794.0,1529.18,2498833650
"SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER", ,774785,18410,756375,774785,64298.8,1569.49,49817782740
"SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING", ,1598791,33449,1565342,1598791,65774.0,909.98,105158865484
"SAL-MODELS, DEMONSTRATORS, AND PRODUCT PROMOTERS", ,98187,7267,90920,98187,12711.7,1374.37,1248124380
"SAL-REAL ESTATE BROKERS AND SALES AGENTS", ,995616,34730,960886,995616,40841.4,1034.54,40662372530
"SAL-SALES ENGINEERS", ,38050,400,37650,38050,99899.2,7172.59,3801163500
"SAL-TELEMARKETERS", ,141345,9818,131527,141345,14140.7,1029.63,1998723960
"SAL-DOOR-TO-DOOR SALES WORKERS, NEWS AND STREET VENDORS, AND RELATED WORKERS", ,215346,15571,199775,215346,11074.2,707.04,2384784700
"SAL-SALES AND RELATED WORKERS, ALL OTHER", ,374384,19055,355329,374384,43468.2,1549.57,16273814070
"OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE SUPPORT WORKERS", ,1621687,64918,1556769,1621687,45257.9,581.78,73394180140
"OFF-SWITCHBOARD OPERATORS, INCLUDING ANSWERING SERVICE", ,41302,3263,38039,41302,20552.1,1669.41,848841120
"OFF-TELEPHONE OPERATORS", ,52448,4756,47692,52448,19189.9,1580.63,1006471790
"OFF-COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHER", ,14030,230,13800,14030,37864.8,6369.96,531242900
"OFF-BILL AND ACCOUNT COLLECTORS", ,214184,10499,203685,214184,27540.4,1012.95,5898721860
"OFF-BILLING AND POSTING CLERKS", ,570422,24519,545903,570422,29322.9,732.05,16726424040
"OFF-BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS", ,1492216,74138,1418078,1492216,28069.9,371.77,41886421820
"OFF-GAMING CAGE WORKERS", ,8852,174,8678,8852,23033.9,3939.67,203896050
"OFF-PAYROLL AND TIMEKEEPING CLERKS", ,199039,7425,191614,199039,34211.7,1166.17,6809460870
"OFF-PROCUREMENT CLERKS", ,37241,577,36664,37241,48487.3,3725.80,1805714170
"OFF-TELLERS", ,430230,11207,419023,430230,19575.0,589.77,8421737960
"OFF-FINANCIAL CLERKS, ALL OTHER", ,141812,2655,139157,141812,60405.0,2869.02,8566149600
"OFF-BROKERAGE CLERKS", ,6848,0,6848,6848,40629.0,7039.07,278227500
"OFF-COURT, MUNICIPAL, AND LICENSE CLERKS", ,92228,4429,87799,92228,31407.0,1488.48,2896607010
"OFF-CREDIT AUTHORIZERS, CHECKERS, AND CLERKS", ,59506,2169,57337,59506,37930.3,3075.11,2257080300
"OFF-CUSTOMER SERVICE REPRESENTATIVES", ,3416863,118143,3298720,3416863,24661.2,258.44,84263988250
"OFF-ELIGIBILITY INTERVIEWERS, GOVERNMENT PROGRAMS", ,88578,5148,83430,88578,35489.5,1706.64,3143587900
"OFF-FILE CLERKS", ,358432,15628,342804,358432,19208.0,589.34,6884758160
"OFF-HOTEL, MOTEL, AND RESORT DESK CLERKS", ,183520,8437,175083,183520,16502.1,795.35,3028457060
"OFF-INTERVIEWERS, EXCEPT ELIGIBILITY AND LOAN", ,193951,14244,179707,193951,20494.7,911.29,3974964570
"OFF-LIBRARY ASSISTANTS, CLERICAL", ,140462,6307,134155,140462,12882.7,616.12,1809528290
"OFF-LOAN INTERVIEWERS AND CLERKS", ,136614,4702,131912,136614,37006.9,1615.58,5055653940
"OFF-NEW ACCOUNTS CLERKS", ,18283,535,17748,18283,41781.6,5633.14,763893100
"OFF-CORRESPONDENCE CLERKS AND ORDER CLERKS", ,181731,7431,174300,181731,24794.0,1119.45,4505837680
"OFF-HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIMEKEEPING", ,63888,2595,61293,63888,30600.1,1796.72,1954978270
"OFF-RECEPTIONISTS AND INFORMATION CLERKS", ,1566642,75349,1491293,1566642,17712.3,283.67,27748830120
"OFF-RESERVATION AND TRANSPORTATION TICKET AGENTS AND TRAVEL CLERKS", ,155694,6328,149366,155694,29892.4,1294.03,4654069360
"OFF-INFORMATION AND RECORD CLERKS, ALL OTHER", ,136642,7151,129491,136642,24680.5,1213.93,3372387930
"OFF-CARGO AND FREIGHT AGENTS", ,24625,1046,23579,24625,33801.0,3235.83,832350300
"OFF-COURIERS AND MESSENGERS", ,279161,10928,268233,279161,25899.9,961.92,7230233400
"OFF-DISPATCHERS", ,333940,18456,315484,333940,33398.2,940.66,11152990210
"OFF-METER READERS, UTILITIES", ,34527,2028,32499,34527,33777.2,3521.51,1166225960
"OFF-POSTAL SERVICE CLERKS", ,140956,9770,131186,140956,39293.2,1638.68,5538609790
"OFF-POSTAL SERVICE MAIL CARRIERS", ,394416,14787,379629,394416,40097.7,937.83,15815170660
"OFF-POSTAL SERVICE MAIL SORTERS, PROCESSORS, AND PROCESSING MACHINE OPERATORS", ,89297,5945,83352,89297,35096.8,1784.78,3134036050
"OFF-PRODUCTION, PLANNING, AND EXPEDITING CLERKS", ,373802,12586,361216,373802,40617.4,993.26,15182870140
"OFF-SHIPPING, RECEIVING, AND TRAFFIC CLERKS", ,753914,26840,727074,753914,24618.7,477.85,18560401720
"OFF-STOCK CLERKS AND ORDER FILLERS", ,2236001,87207,2148794,2236001,16927.5,229.51,37849805670
"OFF-WEIGHERS, MEASURERS, CHECKERS, AND SAMPLERS, RECORDKEEPING", ,99525,4600,94925,99525,29551.5,1756.86,2941109150
"OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS", ,4196202,180804,4015398,4196202,27221.6,224.57,114227226090
"OFF-COMPUTER OPERATORS", ,116006,4232,111774,116006,34477.2,1649.42,3999560070
"OFF-DATA ENTRY KEYERS", ,474032,25762,448270,474032,22140.5,541.40,10495317930
"OFF-WORD PROCESSORS AND TYPISTS", ,405599,18666,386933,405599,23093.6,600.53,9366742730
"OFF-INSURANCE CLAIMS AND POLICY PROCESSING CLERKS", ,457514,17675,439839,457514,33324.4,784.51,15246358680
"OFF-MAIL CLERKS AND MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE", ,113040,6347,106693,113040,18788.1,960.38,2123810540
"OFF-OFFICE CLERKS, GENERAL", ,1751032,68338,1682694,1751032,23303.1,332.66,40804552180
"OFF-OFFICE MACHINE OPERATORS, EXCEPT COMPUTER", ,54694,1461,53233,54694,19081.5,1525.38,1043643720
"OFF-PROOFREADERS AND COPY MARKERS", ,17276,859,16417,17276,17602.7,2277.55,304104070
"OFF-STATISTICAL ASSISTANTS", ,24122,1054,23068,24122,40587.4,4556.07,979049350
"OFF-MISCELLANEOUS OFFICE AND ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS", ,771523,31125,740398,771523,32113.0,624.76,24775903268
"FFF-FIRST-LINE SUPERVISORS OF FARMING, FISHING, AND FORESTRY WORKERS", ,70919,2555,68364,70919,33432.6,1933.71,2371004600
"FFF-AGRICULTURAL INSPECTORS", ,18247,1329,16918,18247,35379.6,4331.50,645571300
"FFF-GRADERS AND SORTERS, AGRICULTURAL PRODUCTS", ,86378,4430,81948,86378,13854.6,1029.42,1196733940
"FFF-MISCELLANEOUS AGRICULTURAL WORKERS, INCLUDING ANIMAL BREEDERS", ,1214057,42191,1171866,1214057,15986.2,292.29,19408205610
"FFF-FISHING AND HUNTING WORKERS", ,60914,2202,58712,60914,14973.2,1974.89,912076490
"FFF-FOREST AND CONSERVATION WORKERS", ,18332,1291,17041,18332,23121.5,2929.94,423863640
"FFF-LOGGING WORKERS", ,82828,3913,78915,82828,19466.4,1466.05,1612362260
"CON-FIRST-LINE SUPERVISORS OF CONSTRUCTION TRADES AND EXTRACTION WORKERS", ,893450,36591,856859,893450,52783.6,962.20,47159471010
"CON-BOILERMAKERS", ,22041,1057,20984,22041,49115.2,5476.78,1082547190
"CON-BRICKMASONS, BLOCKMASONS, STONEMASONS, AND", ,185339,6239,179100,185339,25219.3,1185.30,4674120830
"CON-CARPENTERS", ,1545329,56608,1488721,1545329,23455.5,402.74,36246472992
"CON-CARPET, FLOOR, AND TILE INSTALLERS AND FINISHERS", ,186348,5672,180676,186348,21777.0,1228.30,4058103660
"CON-CEMENT MASONS, CONCRETE FINISHERS, AND TERRAZZO WORKERS", ,73503,2082,71421,73503,28091.5,2498.80,2064806020
"CON-CONSTRUCTION LABORERS", ,2383732,74561,2309171,2383732,22102.1,330.42,52685392982
"CON-PAVING, SURFACING, AND TAMPING EQUIPMENT OPERATORS", ,19028,1387,17641,19028,24538.7,3827.53,466923200
"CON-CONSTRUCTION EQUIPMENT OPERATORS, EXCEPT PAVING, SURFACING, AND TAMPING EQUIPMENT OPERATORS", ,428143,19585,408558,428143,39825.9,1037.16,17051176480
"CON-DRYWALL INSTALLERS, CEILING TILE INSTALLERS, AND TAPERS", ,190703,7040,183663,190703,22099.0,1071.04,4214336430
"CON-ELECTRICIANS", ,932097,27779,904318,932097,43006.7,755.32,40086449460
"CON-GLAZIERS", ,47146,1982,45164,47146,31638.5,2607.78,1491630600
"CON-INSULATION WORKERS", ,50488,1348,49140,50488,32156.9,2531.34,1623538230
"CON-PAINTERS AND PAPERHANGERS", ,763674,27661,736013,763674,18256.5,471.75,13941994690
"CON-PIPELAYERS, PLUMBERS, PIPEFITTERS, AND STEAMFITTERS", ,648298,20339,627959,648298,38238.9,880.42,24790233820
"CON-PLASTERERS AND STUCCO MASONS", ,40976,1387,39589,40976,24722.0,2105.87,1013010680
"CON-ROOFERS", ,288941,10676,278265,288941,20689.5,868.52,5978045840
"CON-SHEET METAL WORKERS", ,155424,4438,150986,155424,35125.5,1444.66,5459340560
"CON-STRUCTURAL IRON AND STEEL WORKERS", ,73250,2792,70458,73250,39076.9,2441.02,2862382520
"CON-HELPERS, CONSTRUCTION TRADES", ,65441,2270,63171,65441,19973.5,1714.20,1307084960
"CON-CONSTRUCTION AND BUILDING INSPECTORS", ,110612,6242,104370,110612,41088.6,2022.79,4544888310
"CON-ELEVATOR INSTALLERS AND REPAIRERS", ,26913,799,26114,26913,69744.8,5923.95,1877041000
"CON-FENCE ERECTORS", ,38975,1490,37485,38975,18108.4,1851.82,705776300
"CON-HAZARDOUS MATERIALS REMOVAL WORKERS", ,40733,2726,38007,40733,34216.1,2975.44,1393724500
"CON-HIGHWAY MAINTENANCE WORKERS", ,136353,6210,130143,136353,33094.3,1504.34,4512501580
"CON-RAIL-TRACK LAYING AND MAINTENANCE EQUIPMENT OPERATORS", ,18181,630,17551,18181,47405.0,5860.54,861869800
"CON-MISCELLANEOUS CONSTRUCTION WORKERS, INCLUDING SOLAR PHOTOVOLTAIC INSTALLERS, SEPTIC TANK SERVICERS AND SEWER PIPE CLEANERS", ,94652,3263,91389,94652,25986.7,1654.70,2459692500
"EXT-DERRICK, ROTARY DRILL, AND SERVICE UNIT OPERATORS, AND ROUSTABOUTS, OIL, GAS, AND MINING", ,55713,1820,53893,55713,65950.1,6034.77,3674279100
"EXT-EARTH DRILLERS, EXCEPT OIL AND GAS", ,32516,2149,30367,32516,49046.8,4952.77,1594804900
"EXT-EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, AND BLASTERS", ,20559,267,20292,20559,38461.5,4752.00,790729700
"EXT-MINING MACHINE OPERATORS", ,77250,4480,72770,77250,57130.6,3900.89,4413336760
"EXT-MISCELLANEOUS EXTRACTION WORKERS, INCLUDING ROOF BOLTERS AND HELPERS", ,94463,3292,91171,94463,49227.5,2887.40,4650181100
"RPR-FIRST-LINE SUPERVISORS OF MECHANICS, INSTALLERS, AND REPAIRERS", ,326553,14204,312349,326553,52409.2,1359.60,17114383150
"RPR-COMPUTER, AUTOMATED TELLER, AND OFFICE MACHINE REPAIRERS", ,249161,8573,240588,249161,34194.2,1282.49,8519860380
"RPR-RADIO AND TELECOMMUNICATIONS EQUIPMENT INSTALLERS AND REPAIRERS", ,200579,6016,194563,200579,42470.2,1543.57,8518637410
"RPR-AVIONICS TECHNICIANS", ,30054,1733,28321,30054,39269.7,3739.14,1180211250
"RPR-ELECTRIC MOTOR, POWER TOOL, AND RELATED REPAIRERS", ,28704,832,27872,28704,39027.9,3674.61,1120257450
"RPR-ELECTRICAL AND ELECTRONICS REPAIRERS, TRANSPORTATION EQUIPMENT, AND INDUSTRIAL AND UTILITY", ,23928,909,23019,23928,44561.7,4169.12,1066273100
"RPR-ELECTRONIC EQUIPMENT INSTALLERS AND REPAIRERS, MOTOR VEHICLES", ,13420,853,12567,13420,44532.7,7625.51,597628300
"RPR-ELECTRONIC HOME ENTERTAINMENT EQUIPMENT INSTALLERS AND REPAIRERS", ,49310,1464,47846,49310,32792.7,3975.90,1617010050
"RPR-SECURITY AND FIRE ALARM SYSTEMS INSTALLERS", ,65964,1930,64034,65964,38021.2,2454.27,2508029290
"RPR-AIRCRAFT MECHANICS AND SERVICE TECHNICIANS", ,221944,8994,212950,221944,47259.3,1558.26,10488916630
"RPR-AUTOMOTIVE BODY AND RELATED REPAIRERS", ,171625,6342,165283,171625,31754.5,1344.61,5449874260
"RPR-AUTOMOTIVE GLASS INSTALLERS AND REPAIRERS", ,21495,953,20542,21495,26608.1,3295.95,571942140
"RPR-AUTOMOTIVE SERVICE TECHNICIANS AND MECHANICS", ,990024,33369,956655,990024,29366.4,546.31,29073468530
"RPR-BUS AND TRUCK MECHANICS AND DIESEL ENGINE SPECIALISTS", ,367945,14238,353707,367945,37156.1,967.56,13671400250
"RPR-HEAVY VEHICLE AND MOBILE EQUIPMENT SERVICE TECHNICIANS AND MECHANICS", ,243256,11336,231920,243256,43494.3,1502.63,10580254750
"RPR-SMALL ENGINE MECHANICS", ,63264,3662,59602,63264,22230.2,1971.67,1406372750
"RPR-MISCELLANEOUS VEHICLE AND MOBILE EQUIPMENT MECHANICS, INSTALLERS, AND REPAIRERS", ,98999,3436,95563,98999,23816.9,1737.73,2357852290
"RPR-CONTROL AND VALVE INSTALLERS AND REPAIRERS", ,24099,502,23597,24099,49057.7,4902.08,1182241720
"RPR-HEATING, AIR CONDITIONING, AND REFRIGERATION MECHANICS AND INSTALLERS", ,432374,14314,418060,432374,36543.0,899.14,15800251850
"RPR-HOME APPLIANCE REPAIRERS", ,45972,1994,43978,45972,28299.4,2666.93,1300978000
"RPR-INDUSTRIAL AND REFRACTORY MACHINERY MECHANICS", ,470407,18128,452279,470407,43062.7,948.86,20256995590
"RPR-MAINTENANCE AND REPAIR WORKERS, GENERAL", ,607940,31383,576557,607940,36030.3,731.56,21904282970
"RPR-MAINTENANCE WORKERS, MACHINERY", ,39953,1798,38155,39953,45266.1,3793.95,1808516420
"RPR-MILLWRIGHTS", ,59271,2277,56994,59271,48518.2,3063.23,2875721190
"RPR-ELECTRICAL POWER-LINE INSTALLERS AND REPAIRERS", ,133693,3766,129927,133693,64071.5,2773.99,8565915570
"RPR-TELECOMMUNICATIONS LINE INSTALLERS AND REPAIRERS", ,181065,6014,175051,181065,42699.2,1708.10,7731329920
"RPR-PRECISION INSTRUMENT AND EQUIPMENT REPAIRERS", ,77051,3926,73125,77051,38440.9,2215.25,2961908770
"RPR-COIN, VENDING, AND AMUSEMENT MACHINE SERVICERS AND REPAIRERS", ,41140,1814,39326,41140,23934.4,1880.02,984661270
"RPR-LOCKSMITHS AND SAFE REPAIRERS", ,29794,1583,28211,29794,29738.8,3007.68,886038900
"RPR-RIGGERS", ,12913,334,12579,12913,43722.1,5746.01,564583700
"RPR-HELPERS--INSTALLATION, MAINTENANCE, AND REPAIR WORKERS", ,30764,1106,29658,30764,17992.8,1806.01,553531130
"RPR-MISCELLANEOUS INSTALLATION, MAINTENANCE, AND REPAIR", ,365755,13550,352205,365755,31198.1,905.21,11410844640
"PRD-FIRST-LINE SUPERVISORS OF PRODUCTION AND OPERATING WORKERS", ,1019233,39531,979702,1019233,51431.3,810.48,52420441910
"PRD-AIRCRAFT STRUCTURE, SURFACES, RIGGING, AND SYSTEMS ASSEMBLERS", ,8895,513,8382,8895,36480.5,6279.97,324493810
"PRD-ELECTRICAL, ELECTRONICS, AND ELECTROMECHANICAL ASSEMBLERS", ,168348,8806,159542,168348,26666.8,1135.06,4489297620
"PRD-ENGINE AND OTHER MACHINE ASSEMBLERS", ,14956,582,14374,14956,33761.9,4128.41,504943040
"PRD-STRUCTURAL METAL FABRICATORS AND FITTERS", ,36647,1343,35304,36647,32864.3,3085.20,1204379400
"PRD-MISCELLANEOUS ASSEMBLERS AND FABRICATORS", ,1338170,59532,1278638,1338170,25544.9,412.32,34183435470
"PRD-BAKERS", ,295402,11794,283608,295402,17604.4,646.18,5200382270
"PRD-BUTCHERS AND OTHER MEAT, POULTRY, AND FISH PROCESSING WORKERS", ,328831,11681,317150,328831,23338.4,758.05,7674394590
"PRD-FOOD AND TOBACCO ROASTING, BAKING, AND DRYING MACHINE OPERATORS AND TENDERS", ,11456,322,11134,11456,25917.9,3694.30,296915710
"PRD-FOOD BATCHMAKERS", ,118230,5865,112365,118230,19183.4,963.51,2268056260
"PRD-FOOD COOKING MACHINE OPERATORS AND TENDERS", ,12376,907,11469,12376,14819.7,2665.95,183408420
"PRD-FOOD PROCESSING WORKERS, ALL OTHER", ,159450,5762,153688,159450,27235.6,1177.63,4342723640
"PRD-COMPUTER CONTROL PROGRAMMERS AND OPERATORS", ,106937,3603,103334,106937,39628.5,1811.67,4237747590
"PRD-EXTRUDING AND DRAWING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,15931,778,15153,15931,31353.9,4063.87,499498300
"PRD-FORGING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,9250,467,8783,9250,35060.6,5166.21,324310700
"PRD-ROLLING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,9732,604,9128,9732,40947.0,6270.04,398495730
"PRD-MACHINE TOOL CUTTING SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,185020,7550,177470,185020,27900.9,1059.34,5162217530
"PRD-MACHINISTS", ,411788,14839,396949,411788,39595.1,941.17,16304797570
"PRD-METAL FURNACE OPERATORS, TENDERS, POURERS, AND CASTERS", ,26612,1700,24912,26612,38318.2,3754.73,1019725100
"PRD-MODEL MAKERS, PATTERNMAKERS, AND MOLDING MACHINE SETTERS, METAL AND PLASTIC", ,59372,3244,56128,59372,31534.6,2281.62,1872272860
"PRD-TOOL AND DIE MAKERS", ,69630,3699,65931,69630,44120.7,2410.02,3072122560
"PRD-WELDING, SOLDERING, AND BRAZING WORKERS", ,763542,28990,734552,763542,34537.0,699.49,26370468980
"PRD-MISCELLANEOUS METAL WORKERS AND PLASTIC WORKERS, INCLUDING MULTIPLE MACHINE TOOL SETTERS", ,520702,21293,499409,520702,30137.3,691.39,15692549480
"PRD-PREPRESS TECHNICIANS AND WORKERS", ,31233,1419,29814,31233,25140.6,2422.55,785216520
"PRD-PRINTING PRESS OPERATORS", ,220737,8349,212388,220737,28513.0,1023.45,6293875530
"PRD-PRINT BINDING AND FINISHING WORKERS", ,27834,1242,26592,27834,23164.4,2152.03,644758850
"PRD-LAUNDRY AND DRY-CLEANING WORKERS", ,253954,14764,239190,253954,15551.4,654.89,3949342480
"PRD-PRESSERS, TEXTILE, GARMENT, AND RELATED MATERIALS", ,60544,3505,57039,60544,14146.9,1120.60,856509480
"PRD-SEWING MACHINE OPERATORS", ,257507,15528,241979,257507,15843.5,668.97,4079815890
"PRD-SHOE AND LEATHER WORKERS", ,16695,826,15869,16695,15256.0,2868.13,254699600
"PRD-TAILORS, DRESSMAKERS, AND SEWERS", ,97686,7359,90327,97686,15136.1,1465.47,1478585664
"PRD-TEXTILE BLEACHING AND DYEING, AND CUTTING MACHINE SETTERS, OPERATORS, AND TENDERS", ,13813,421,13392,13813,20946.1,3440.17,289328200
"PRD-TEXTILE KNITTING AND WEAVING MACHINE SETTERS, OPERATORS, AND TENDERS", ,10936,1293,9643,10936,19473.7,2964.72,212964300
"PRD-TEXTILE WINDING, TWISTING, AND DRAWING OUT MACHINE SETTERS, OPERATORS, AND TENDERS", ,16233,1398,14835,16233,19542.9,3043.42,317240400
"PRD-UPHOLSTERERS", ,40803,2150,38653,40803,19277.0,1705.30,786559860
"PRD-MISCELLANEOUS TEXTILE, APPAREL, AND FURNISHINGS WORKERS, EXCEPT UPHOLSTERERS", ,23474,781,22693,23474,23874.2,2636.09,560421900
"PRD-CABINETMAKERS AND BENCH CARPENTERS", ,60151,2913,57238,60151,21784.4,1495.76,1310352620
"PRD-FURNITURE FINISHERS", ,18330,674,17656,18330,18171.7,2302.32,333087850
"PRD-SAWING MACHINE SETTERS, OPERATORS, AND TENDERS, WOOD", ,44431,1896,42535,44431,20248.2,1649.67,899645810
"PRD-WOODWORKING MACHINE SETTERS, OPERATORS, AND TENDERS, EXCEPT SAWING", ,20478,832,19646,20478,19380.3,2308.06,396868990
"PRD-MISCELLANEOUS WOODWORKERS, INCLUDING MODEL MAKERS AND PATTERNMAKERS", ,41244,1217,40027,41244,20726.2,1916.24,854832630
"PRD-POWER PLANT OPERATORS, DISTRIBUTORS, AND DISPATCHERS", ,55985,1360,54625,55985,78251.6,4572.86,4380917300
"PRD-STATIONARY ENGINEERS AND BOILER OPERATORS", ,114832,4394,110438,114832,51553.3,2622.62,5919967070
"PRD-WATER AND WASTEWATER TREATMENT PLANT AND SYSTEM OPERATORS", ,97266,3633,93633,97266,44531.3,2199.12,4331382280
"PRD-MISCELLANEOUS PLANT AND SYSTEM OPERATORS", ,53773,2057,51716,53773,56570.7,3568.15,3041974750
"PRD-CHEMICAL PROCESSING MACHINE SETTERS, OPERATORS, AND TENDERS", ,63465,1983,61482,63465,44423.5,2761.88,2819337440
"PRD-CRUSHING, GRINDING, POLISHING, MIXING, AND BLENDING WORKERS", ,108679,4183,104496,108679,33804.3,1812.33,3673821550
"PRD-CUTTING WORKERS", ,91999,6809,85190,91999,21464.1,1345.12,1974672920
"PRD-EXTRUDING, FORMING, PRESSING, AND COMPACTING MACHINE SETTERS, OPERATORS, AND TENDERS", ,32267,1554,30713,32267,30098.4,2866.93,971185900
"PRD-FURNACE, KILN, OVEN, DRIER, AND KETTLE OPERATORS AND TENDERS", ,16746,364,16382,16746,32291.8,3921.79,540758100
"PRD-INSPECTORS, TESTERS, SORTERS, SAMPLERS, AND WEIGHERS", ,999167,49565,949602,999167,34500.9,602.53,34472136660
"PRD-JEWELERS AND PRECIOUS STONE AND METAL WORKERS", ,53636,2539,51097,53636,23325.4,2047.11,1251081710
"PRD-MEDICAL, DENTAL, AND OPHTHALMIC LABORATORY TECHNICIANS", ,105720,3715,102005,105720,28805.5,1524.35,3045314850
"PRD-PACKAGING AND FILLING MACHINE OPERATORS AND TENDERS", ,353496,14987,338509,353496,19924.4,626.44,7043199100
"PRD-PAINTING WORKERS", ,184417,6403,178014,184417,29455.3,1247.39,5432066840
"PRD-PHOTOGRAPHIC PROCESS WORKERS AND PROCESSING MACHINE OPERATORS", ,37701,1919,35782,37701,26782.8,2958.77,1009738380
"PRD-ADHESIVE BONDING MACHINE OPERATORS AND TENDERS", ,10772,559,10213,10772,24233.0,3952.57,261038300
"PRD-ETCHERS AND ENGRAVERS", ,12727,923,11804,12727,21913.7,3477.11,278896280
"PRD-MOLDERS, SHAPERS, AND CASTERS, EXCEPT METAL AND PLASTIC", ,37690,485,37205,37690,27755.7,2563.95,1046111700
"PRD-PAPER GOODS MACHINE SETTERS, OPERATORS, AND TENDERS", ,29726,1475,28251,29726,28850.0,2802.20,857594780
"PRD-TIRE BUILDERS", ,16887,63,16824,16887,38975.5,4316.98,658179800
"PRD-HELPERS-PRODUCTION WORKERS", ,71120,1692,69428,71120,17984.8,1551.21,1279077870
"PRD-MISCELLANEOUS PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS", ,1620414,77356,1543058,1620414,28542.5,410.21,46250726590
"TRN-SUPERVISORS OF TRANSPORTATION AND MATERIAL MOVING WORKERS", ,253759,7755,246004,253759,44806.9,1420.82,11370151060
"TRN-AIRCRAFT PILOTS AND FLIGHT ENGINEERS", ,166495,1941,164554,166495,107038.6,4402.48,17821384680
"TRN-AIR TRAFFIC CONTROLLERS AND AIRFIELD OPERATIONS SPECIALISTS", ,51179,681,50498,51179,74452.2,5364.16,3810386700
"TRN-FLIGHT ATTENDANTS", ,116255,2336,113919,116255,38985.8,1739.66,4532292620
"TRN-AMBULANCE DRIVERS AND ATTENDANTS, EXCEPT EMERGENCY MEDICAL TECHNICIANS", ,16914,1034,15880,16914,21931.6,2820.42,370951540
"TRN-BUS DRIVERS", ,772066,56601,715465,772066,22476.6,481.37,17353434860
"TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS", ,4257191,214522,4042669,4257191,31838.0,294.32,135540539420
