Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,35.0, 0.28,20482800.0,206043.0
Alabama,28.8, 1.56,440700.0,4584.0
Alaska,40.6, 5.06,49500.0,443.0
Arizona,34.8, 1.69,417900.0,4156.0
Arkansas,30.2, 2.02,271600.0,2777.0
California,33.6, 0.76,2007700.0,20153.0
Colorado,42.4, 2.11,286900.0,2910.0
Connecticut,34.6, 2.49,192500.0,1910.0
Delaware,33.4, 4.70,52800.0,528.0
District of Columbia,32.9, 5.19,43000.0,418.0
Florida,30.8, 0.97,1181400.0,11775.0
Georgia,31.7, 1.32,655300.0,6730.0
Hawaii,42.8, 4.32,68900.0,713.0
Idaho,41.1, 3.28,118500.0,1112.0
Illinois,35.2, 1.34,670800.0,7148.0
Indiana,36.0, 1.58,486900.0,5042.0
Iowa,45.5, 2.30,180700.0,1882.0
Kansas,43.7, 2.70,177300.0,1858.0
Kentucky,26.8, 1.57,419100.0,4207.0
Louisiana,33.3, 1.79,364600.0,3621.0
Maine,27.7, 2.77,118500.0,1136.0
Maryland,41.7, 2.00,318400.0,3206.0
Massachusetts,35.0, 1.73,398600.0,3943.0
Michigan,31.2, 1.12,768700.0,7708.0
Minnesota,49.2, 1.80,297000.0,3086.0
Mississippi,28.0, 2.02,258900.0,2678.0
Missouri,34.6, 1.59,467600.0,4915.0
Montana,37.9, 3.48,74800.0,634.0
Nebraska,47.7, 3.01,106500.0,1114.0
Nevada,40.9, 2.52,200000.0,1797.0
New Hampshire,42.9, 3.72,93000.0,899.0
New Jersey,37.8, 1.71,420300.0,4279.0
New Mexico,29.7, 2.68,152300.0,1396.0
New York,33.1, 1.03,1100400.0,11780.0
North Carolina,33.2, 1.26,738700.0,7235.0
North Dakota,44.4, 5.14,36100.0,388.0
Ohio,35.5, 1.18,863000.0,8746.0
Oklahoma,35.0, 1.66,316900.0,3224.0
Oregon,37.1, 1.97,316600.0,3072.0
Pennsylvania,35.6, 1.15,903400.0,8955.0
Rhode Island,36.2, 4.00,75900.0,735.0
South Carolina,29.4, 1.71,372500.0,3702.0
South Dakota,51.1, 4.16,55600.0,509.0
Tennessee,30.6, 1.42,555600.0,5447.0
Texas,38.4, 0.87,1629900.0,16145.0
Utah,46.1, 2.86,159500.0,1477.0
Vermont,41.1, 4.05,47800.0,467.0
Virginia,36.7, 1.59,481600.0,4756.0
Washington,37.3, 1.58,492100.0,4949.0
West Virginia,25.4, 2.13,189500.0,1845.0
Wisconsin,42.3, 1.64,348100.0,3481.0
Wyoming,60.1, 4.89,38700.0,372.0
Puerto Rico,20.8, 1.42,368700.0,3231.0
