Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,35.7, 0.30,19134000.0,187783.0
Alabama,29.8, 1.60,431500.0,4450.0
Alaska,50.2, 4.25,53300.0,423.0
Arizona,33.9, 1.74,389400.0,3656.0
Arkansas,34.5, 2.04,284500.0,2913.0
California,33.8, 0.79,1866400.0,17675.0
Colorado,45.9, 2.25,257700.0,2536.0
Connecticut,41.3, 2.64,182900.0,1733.0
Delaware,35.0, 4.52,58400.0,528.0
District of Columbia,28.4, 5.15,40300.0,363.0
Florida,32.4, 1.04,1070500.0,10900.0
Georgia,34.4, 1.38,624200.0,6207.0
Hawaii,41.0, 4.55,61300.0,616.0
Idaho,39.4, 3.52,100900.0,998.0
Illinois,35.8, 1.37,641400.0,6539.0
Indiana,35.8, 1.67,431300.0,4424.0
Iowa,46.7, 2.39,168000.0,1708.0
Kansas,43.6, 2.69,178000.0,1713.0
Kentucky,28.0, 1.58,423600.0,4087.0
Louisiana,34.5, 1.84,349100.0,3584.0
Maine,33.5, 2.95,115600.0,1076.0
Maryland,43.4, 2.09,294600.0,2893.0
Massachusetts,34.8, 1.77,378900.0,3455.0
Michigan,30.1, 1.25,711500.0,6810.0
Minnesota,43.9, 2.18,271200.0,2638.0
Mississippi,28.5, 2.06,252600.0,2726.0
Missouri,35.6, 1.63,450500.0,4501.0
Montana,45.0, 4.34,68900.0,596.0
Nebraska,45.7, 3.65,97600.0,965.0
Nevada,40.5, 2.97,143000.0,1516.0
New Hampshire,39.6, 4.10,74800.0,728.0
New Jersey,39.9, 1.75,412800.0,3941.0
New Mexico,36.4, 2.91,143300.0,1366.0
New York,33.6, 1.04,1086000.0,10554.0
North Carolina,34.5, 1.34,661700.0,6650.0
North Dakota,55.5, 5.96,36500.0,383.0
Ohio,33.9, 1.19,829900.0,7967.0
Oklahoma,39.8, 1.97,324900.0,3363.0
Oregon,37.8, 2.17,263000.0,2514.0
Pennsylvania,35.6, 1.20,831800.0,7784.0
Rhode Island,36.2, 4.30,65600.0,611.0
South Carolina,29.7, 1.83,329200.0,3342.0
South Dakota,45.6, 5.34,45700.0,426.0
Tennessee,30.0, 1.45,525200.0,5348.0
Texas,39.5, 0.92,1494800.0,14747.0
Utah,42.8, 3.11,132500.0,1288.0
Vermont,43.3, 4.66,43700.0,402.0
Virginia,39.2, 1.68,446200.0,4454.0
Washington,38.7, 1.68,441800.0,4212.0
West Virginia,27.6, 2.11,202800.0,1982.0
Wisconsin,40.1, 1.88,307800.0,3131.0
Wyoming,51.6, 5.12,36700.0,361.0
Puerto Rico,22.5, 1.34,437400.0,3539.0
