Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,33.2, 0.28,19650900.0,202037.0
Alabama,29.0, 1.57,439800.0,4521.0
Alaska,40.1, 5.03,49900.0,439.0
Arizona,34.6, 1.77,379200.0,3999.0
Arkansas,31.8, 2.05,270100.0,2808.0
California,31.8, 0.78,1867800.0,19090.0
Colorado,41.7, 2.14,278700.0,2792.0
Connecticut,39.3, 2.61,183700.0,1884.0
Delaware,34.7, 4.51,58600.0,591.0
District of Columbia,30.6, 5.07,43500.0,437.0
Florida,29.1, 0.97,1154300.0,11613.0
Georgia,30.5, 1.31,648500.0,6792.0
Hawaii,38.6, 4.17,71500.0,690.0
Idaho,40.0, 3.47,104400.0,1086.0
Illinois,33.0, 1.31,678700.0,7199.0
Indiana,34.4, 1.65,433500.0,4764.0
Iowa,42.2, 2.29,178800.0,1922.0
Kansas,40.3, 2.58,189100.0,1988.0
Kentucky,26.6, 1.58,413500.0,4238.0
Louisiana,34.6, 1.77,379800.0,3883.0
Maine,34.0, 3.00,112900.0,1081.0
Maryland,41.1, 2.03,307800.0,3018.0
Massachusetts,33.0, 1.75,380500.0,3931.0
Michigan,27.6, 1.13,711700.0,7471.0
Minnesota,43.0, 1.85,275600.0,2859.0
Mississippi,26.4, 1.92,275400.0,2844.0
Missouri,32.6, 1.58,465200.0,4928.0
Montana,37.3, 3.75,64000.0,618.0
Nebraska,43.3, 3.21,92000.0,947.0
Nevada,35.6, 2.61,177300.0,1724.0
New Hampshire,36.5, 3.86,81600.0,816.0
New Jersey,35.6, 1.68,427300.0,4312.0
New Mexico,34.0, 2.68,164600.0,1540.0
New York,31.5, 1.04,1042200.0,11375.0
North Carolina,30.8, 1.28,683100.0,7067.0
North Dakota,53.4, 5.12,36600.0,364.0
Ohio,32.5, 1.17,843500.0,8689.0
Oklahoma,33.9, 1.66,313000.0,3206.0
Oregon,34.3, 2.04,283400.0,2779.0
Pennsylvania,32.9, 1.15,868400.0,8668.0
Rhode Island,28.7, 3.93,69500.0,709.0
South Carolina,27.5, 1.73,350400.0,3629.0
South Dakota,54.2, 4.37,50100.0,505.0
Tennessee,27.9, 1.40,535900.0,5488.0
Texas,37.0, 0.88,1595200.0,16159.0
Utah,41.6, 2.99,142600.0,1352.0
Vermont,36.0, 4.11,44200.0,449.0
Virginia,35.8, 1.66,438600.0,4615.0
Washington,36.4, 1.66,441800.0,4602.0
West Virginia,24.7, 2.09,192100.0,1938.0
Wisconsin,36.0, 1.65,326100.0,3255.0
Wyoming,43.8, 5.19,35300.0,363.0
Puerto Rico,23.3, 1.41,405600.0,3591.0
